date,base,quote,type,value
2026-08-24,AED,MZN,buy,17.23
2026-08-24,AED,MZN,sell,17.57
2026-08-24,AUD,MZN,buy,45.36
2026-08-24,AUD,MZN,sell,46.27
2026-08-24,BRL,MZN,buy,12.27
2026-08-24,BRL,MZN,sell,12.52
2026-08-24,BWP,MZN,buy,5
2026-08-24,BWP,MZN,sell,5.1
2026-08-24,CAD,MZN,buy,45.77
2026-08-24,CAD,MZN,sell,46.69
2026-08-24,CHF,MZN,buy,78.91
2026-08-24,CHF,MZN,sell,80.49
2026-08-24,CNH,MZN,buy,9.41
2026-08-24,CNH,MZN,sell,9.6
2026-08-24,CNY,MZN,buy,9.41
2026-08-24,CNY,MZN,sell,9.6
2026-08-24,DKK,MZN,buy,9.88
2026-08-24,DKK,MZN,sell,10.08
2026-08-24,EUR,MZN,buy,73.87
2026-08-24,EUR,MZN,sell,75.35
2026-08-24,GBP,MZN,buy,86.34
2026-08-24,GBP,MZN,sell,88.08
2026-08-24,KWD,MZN,buy,206.29
2026-08-24,KWD,MZN,sell,210.43
2026-08-24,MUR,MZN,buy,1.36
2026-08-24,MUR,MZN,sell,1.39
2026-08-24,NOK,MZN,buy,6.81
2026-08-24,NOK,MZN,sell,6.95
2026-08-24,NZD,MZN,buy,37.78
2026-08-24,NZD,MZN,sell,38.54
2026-08-24,SEK,MZN,buy,6.67
2026-08-24,SEK,MZN,sell,6.8
2026-08-24,USD,MZN,buy,63.27
2026-08-24,USD,MZN,sell,64.54
2026-08-24,XDR,MZN,buy,86.95
2026-08-24,XDR,MZN,sell,88.69
2026-08-24,ZAR,MZN,buy,3.95
2026-08-24,ZAR,MZN,sell,4.03
2026-08-24,ZMK,MZN,buy,3.33
2026-08-24,ZMK,MZN,sell,3.4
2026-08-25,AED,MZN,buy,17.23
2026-08-25,AED,MZN,sell,17.57
2026-08-25,AUD,MZN,buy,45.26
2026-08-25,AUD,MZN,sell,46.17
2026-08-25,BRL,MZN,buy,12.26
2026-08-25,BRL,MZN,sell,12.51
2026-08-25,BWP,MZN,buy,5
2026-08-25,BWP,MZN,sell,5.1
2026-08-25,CAD,MZN,buy,45.66
2026-08-25,CAD,MZN,sell,46.58
2026-08-25,CHF,MZN,buy,78.86
2026-08-25,CHF,MZN,sell,80.44
2026-08-25,CNH,MZN,buy,9.42
2026-08-25,CNH,MZN,sell,9.61
2026-08-25,CNY,MZN,buy,9.42
2026-08-25,CNY,MZN,sell,9.61
2026-08-25,DKK,MZN,buy,9.87
2026-08-25,DKK,MZN,sell,10.07
2026-08-25,EUR,MZN,buy,73.82
2026-08-25,EUR,MZN,sell,75.3
2026-08-25,GBP,MZN,buy,86.28
2026-08-25,GBP,MZN,sell,88.01
2026-08-25,KWD,MZN,buy,206.23
2026-08-25,KWD,MZN,sell,210.37
2026-08-25,MUR,MZN,buy,1.36
2026-08-25,MUR,MZN,sell,1.38
2026-08-25,NOK,MZN,buy,6.78
2026-08-25,NOK,MZN,sell,6.92
2026-08-25,NZD,MZN,buy,37.72
2026-08-25,NZD,MZN,sell,38.48
2026-08-25,SEK,MZN,buy,6.67
2026-08-25,SEK,MZN,sell,6.8
2026-08-25,USD,MZN,buy,63.27
2026-08-25,USD,MZN,sell,64.54
2026-08-25,XDR,MZN,buy,86.83
2026-08-25,XDR,MZN,sell,88.57
2026-08-25,ZAR,MZN,buy,3.96
2026-08-25,ZAR,MZN,sell,4.04
2026-08-25,ZMK,MZN,buy,3.33
2026-08-25,ZMK,MZN,sell,3.4
2026-08-26,AED,MZN,buy,17.23
2026-08-26,AED,MZN,sell,17.57
2026-08-26,AUD,MZN,buy,45.45
2026-08-26,AUD,MZN,sell,46.35
2026-08-26,BRL,MZN,buy,12.29
2026-08-26,BRL,MZN,sell,12.53
2026-08-26,BWP,MZN,buy,5.01
2026-08-26,BWP,MZN,sell,5.11
2026-08-26,CAD,MZN,buy,45.63
2026-08-26,CAD,MZN,sell,46.54
2026-08-26,CHF,MZN,buy,78.74
2026-08-26,CHF,MZN,sell,80.3
2026-08-26,CNH,MZN,buy,9.42
2026-08-26,CNH,MZN,sell,9.6
2026-08-26,CNY,MZN,buy,9.42
2026-08-26,CNY,MZN,sell,9.6
2026-08-26,DKK,MZN,buy,9.88
2026-08-26,DKK,MZN,sell,10.07
2026-08-26,EUR,MZN,buy,73.82
2026-08-26,EUR,MZN,sell,75.29
2026-08-26,GBP,MZN,buy,86.18
2026-08-26,GBP,MZN,sell,87.9
2026-08-26,KWD,MZN,buy,206.26
2026-08-26,KWD,MZN,sell,210.37
2026-08-26,MUR,MZN,buy,1.36
2026-08-26,MUR,MZN,sell,1.38
2026-08-26,NOK,MZN,buy,6.78
2026-08-26,NOK,MZN,sell,6.91
2026-08-26,NZD,MZN,buy,37.7
2026-08-26,NZD,MZN,sell,38.45
2026-08-26,SEK,MZN,buy,6.67
2026-08-26,SEK,MZN,sell,6.8
2026-08-26,USD,MZN,buy,63.28
2026-08-26,USD,MZN,sell,64.54
2026-08-26,XDR,MZN,buy,86.85
2026-08-26,XDR,MZN,sell,88.57
2026-08-26,ZAR,MZN,buy,3.97
2026-08-26,ZAR,MZN,sell,4.05
2026-08-26,ZMK,MZN,buy,3.34
2026-08-26,ZMK,MZN,sell,3.41
2026-08-27,AED,MZN,buy,17.23
2026-08-27,AED,MZN,sell,17.57
2026-08-27,AUD,MZN,buy,45.41
2026-08-27,AUD,MZN,sell,46.32
2026-08-27,BRL,MZN,buy,12.28
2026-08-27,BRL,MZN,sell,12.53
2026-08-27,BWP,MZN,buy,4.99
2026-08-27,BWP,MZN,sell,5.09
2026-08-27,CAD,MZN,buy,45.57
2026-08-27,CAD,MZN,sell,46.49
2026-08-27,CHF,MZN,buy,78.53
2026-08-27,CHF,MZN,sell,80.1
2026-08-27,CNH,MZN,buy,9.41
2026-08-27,CNH,MZN,sell,9.6
2026-08-27,CNY,MZN,buy,9.41
2026-08-27,CNY,MZN,sell,9.6
2026-08-27,DKK,MZN,buy,9.85
2026-08-27,DKK,MZN,sell,10.05
2026-08-27,EUR,MZN,buy,73.66
2026-08-27,EUR,MZN,sell,75.13
2026-08-27,GBP,MZN,buy,85.87
2026-08-27,GBP,MZN,sell,87.59
2026-08-27,KWD,MZN,buy,206.23
2026-08-27,KWD,MZN,sell,210.37
2026-08-27,MUR,MZN,buy,1.36
2026-08-27,MUR,MZN,sell,1.38
2026-08-27,NOK,MZN,buy,6.76
2026-08-27,NOK,MZN,sell,6.9
2026-08-27,NZD,MZN,buy,37.59
2026-08-27,NZD,MZN,sell,38.34
2026-08-27,SEK,MZN,buy,6.64
2026-08-27,SEK,MZN,sell,6.77
2026-08-27,USD,MZN,buy,63.27
2026-08-27,USD,MZN,sell,64.54
2026-08-27,XDR,MZN,buy,86.83
2026-08-27,XDR,MZN,sell,88.57
2026-08-27,ZAR,MZN,buy,3.95
2026-08-27,ZAR,MZN,sell,4.03
2026-08-27,ZMK,MZN,buy,3.33
2026-08-27,ZMK,MZN,sell,3.4
2026-08-28,AED,MZN,buy,17.23
2026-08-28,AED,MZN,sell,17.57
2026-08-28,AUD,MZN,buy,45.54
2026-08-28,AUD,MZN,sell,46.46
2026-08-28,BRL,MZN,buy,12.25
2026-08-28,BRL,MZN,sell,12.5
2026-08-28,BWP,MZN,buy,4.99
2026-08-28,BWP,MZN,sell,5.09
2026-08-28,CAD,MZN,buy,45.69
2026-08-28,CAD,MZN,sell,46.6
2026-08-28,CHF,MZN,buy,78.73
2026-08-28,CHF,MZN,sell,80.31
2026-08-28,CNH,MZN,buy,9.41
2026-08-28,CNH,MZN,sell,9.6
2026-08-28,CNY,MZN,buy,9.41
2026-08-28,CNY,MZN,sell,9.6
2026-08-28,DKK,MZN,buy,9.85
2026-08-28,DKK,MZN,sell,10.05
2026-08-28,EUR,MZN,buy,73.66
2026-08-28,EUR,MZN,sell,75.13
2026-08-28,GBP,MZN,buy,85.93
2026-08-28,GBP,MZN,sell,87.66
2026-08-28,KWD,MZN,buy,206.23
2026-08-28,KWD,MZN,sell,210.37
2026-08-28,MUR,MZN,buy,1.35
2026-08-28,MUR,MZN,sell,1.38
2026-08-28,NOK,MZN,buy,6.79
2026-08-28,NOK,MZN,sell,6.93
2026-08-28,NZD,MZN,buy,37.66
2026-08-28,NZD,MZN,sell,38.41
2026-08-28,SEK,MZN,buy,6.64
2026-08-28,SEK,MZN,sell,6.78
2026-08-28,USD,MZN,buy,63.27
2026-08-28,USD,MZN,sell,64.54
2026-08-28,XDR,MZN,buy,86.74
2026-08-28,XDR,MZN,sell,88.48
2026-08-28,ZAR,MZN,buy,3.96
2026-08-28,ZAR,MZN,sell,4.04
2026-08-28,ZMK,MZN,buy,3.35
2026-08-28,ZMK,MZN,sell,3.41
2026-08-31,AED,MZN,buy,17.23
2026-08-31,AED,MZN,sell,17.57
2026-08-31,AUD,MZN,buy,45.32
2026-08-31,AUD,MZN,sell,46.23
2026-08-31,BRL,MZN,buy,12.2
2026-08-31,BRL,MZN,sell,12.45
2026-08-31,BWP,MZN,buy,4.97
2026-08-31,BWP,MZN,sell,5.07
2026-08-31,CAD,MZN,buy,45.56
2026-08-31,CAD,MZN,sell,46.48
2026-08-31,CHF,MZN,buy,78.29
2026-08-31,CHF,MZN,sell,79.86
2026-08-31,CNH,MZN,buy,9.41
2026-08-31,CNH,MZN,sell,9.6
2026-08-31,CNY,MZN,buy,9.42
2026-08-31,CNY,MZN,sell,9.6
2026-08-31,DKK,MZN,buy,9.82
2026-08-31,DKK,MZN,sell,10.02
2026-08-31,EUR,MZN,buy,73.4
2026-08-31,EUR,MZN,sell,74.87
2026-08-31,GBP,MZN,buy,85.69
2026-08-31,GBP,MZN,sell,87.41
2026-08-31,KWD,MZN,buy,206.02
2026-08-31,KWD,MZN,sell,210.16
2026-08-31,MUR,MZN,buy,1.35
2026-08-31,MUR,MZN,sell,1.37
2026-08-31,NOK,MZN,buy,6.77
2026-08-31,NOK,MZN,sell,6.9
2026-08-31,NZD,MZN,buy,37.44
2026-08-31,NZD,MZN,sell,38.19
2026-08-31,SEK,MZN,buy,6.6
2026-08-31,SEK,MZN,sell,6.73
2026-08-31,USD,MZN,buy,63.27
2026-08-31,USD,MZN,sell,64.54
2026-08-31,XDR,MZN,buy,86.76
2026-08-31,XDR,MZN,sell,88.5
2026-08-31,ZAR,MZN,buy,3.92
2026-08-31,ZAR,MZN,sell,4
2026-08-31,ZMK,MZN,buy,3.34
2026-08-31,ZMK,MZN,sell,3.41
2026-09-01,AED,MZN,buy,17.23
2026-09-01,AED,MZN,sell,17.57
2026-09-01,AUD,MZN,buy,45.21
2026-09-01,AUD,MZN,sell,46.12
2026-09-01,BRL,MZN,buy,12.2
2026-09-01,BRL,MZN,sell,12.45
2026-09-01,BWP,MZN,buy,4.96
2026-09-01,BWP,MZN,sell,5.06
2026-09-01,CAD,MZN,buy,45.62
2026-09-01,CAD,MZN,sell,46.54
2026-09-01,CHF,MZN,buy,78.16
2026-09-01,CHF,MZN,sell,79.73
2026-09-01,CNH,MZN,buy,9.41
2026-09-01,CNH,MZN,sell,9.6
2026-09-01,CNY,MZN,buy,9.41
2026-09-01,CNY,MZN,sell,9.6
2026-09-01,DKK,MZN,buy,9.82
2026-09-01,DKK,MZN,sell,10.01
2026-09-01,EUR,MZN,buy,73.37
2026-09-01,EUR,MZN,sell,74.84
2026-09-01,GBP,MZN,buy,85.67
2026-09-01,GBP,MZN,sell,87.39
2026-09-01,KWD,MZN,buy,206.02
2026-09-01,KWD,MZN,sell,210.16
2026-09-01,MUR,MZN,buy,1.35
2026-09-01,MUR,MZN,sell,1.37
2026-09-01,NOK,MZN,buy,6.78
2026-09-01,NOK,MZN,sell,6.92
2026-09-01,NZD,MZN,buy,37.31
2026-09-01,NZD,MZN,sell,38.06
2026-09-01,SEK,MZN,buy,6.6
2026-09-01,SEK,MZN,sell,6.73
2026-09-01,USD,MZN,buy,63.27
2026-09-01,USD,MZN,sell,64.54
2026-09-01,ZAR,MZN,buy,3.92
2026-09-01,ZAR,MZN,sell,4
2026-09-01,ZMK,MZN,buy,3.33
2026-09-01,ZMK,MZN,sell,3.4
2026-09-02,AED,MZN,buy,17.23
2026-09-02,AED,MZN,sell,17.57
2026-09-02,AUD,MZN,buy,45.08
2026-09-02,AUD,MZN,sell,45.99
2026-09-02,BRL,MZN,buy,12.27
2026-09-02,BRL,MZN,sell,12.52
2026-09-02,BWP,MZN,buy,4.95
2026-09-02,BWP,MZN,sell,5.05
2026-09-02,CAD,MZN,buy,45.41
2026-09-02,CAD,MZN,sell,46.32
2026-09-02,CHF,MZN,buy,77.63
2026-09-02,CHF,MZN,sell,79.19
2026-09-02,CNH,MZN,buy,9.41
2026-09-02,CNH,MZN,sell,9.6
2026-09-02,CNY,MZN,buy,9.41
2026-09-02,CNY,MZN,sell,9.6
2026-09-02,DKK,MZN,buy,9.8
2026-09-02,DKK,MZN,sell,9.99
2026-09-02,EUR,MZN,buy,73.21
2026-09-02,EUR,MZN,sell,74.68
2026-09-02,GBP,MZN,buy,85.32
2026-09-02,GBP,MZN,sell,87.03
2026-09-02,KWD,MZN,buy,206.02
2026-09-02,KWD,MZN,sell,210.16
2026-09-02,MUR,MZN,buy,1.34
2026-09-02,MUR,MZN,sell,1.37
2026-09-02,NOK,MZN,buy,6.77
2026-09-02,NOK,MZN,sell,6.91
2026-09-02,NZD,MZN,buy,36.73
2026-09-02,NZD,MZN,sell,37.47
2026-09-02,SEK,MZN,buy,6.55
2026-09-02,SEK,MZN,sell,6.68
2026-09-02,USD,MZN,buy,63.27
2026-09-02,USD,MZN,sell,64.54
2026-09-02,XDR,MZN,buy,86.58
2026-09-02,XDR,MZN,sell,88.32
2026-09-02,ZAR,MZN,buy,3.91
2026-09-02,ZAR,MZN,sell,3.99
2026-09-02,ZMK,MZN,buy,3.33
2026-09-02,ZMK,MZN,sell,3.39
2026-09-03,AED,MZN,buy,17.23
2026-09-03,AED,MZN,sell,17.57
2026-09-03,AUD,MZN,buy,45.44
2026-09-03,AUD,MZN,sell,46.35
2026-09-03,BRL,MZN,buy,12.43
2026-09-03,BRL,MZN,sell,12.68
2026-09-03,BWP,MZN,buy,4.97
2026-09-03,BWP,MZN,sell,5.07
2026-09-03,CAD,MZN,buy,45.82
2026-09-03,CAD,MZN,sell,46.74
2026-09-03,CHF,MZN,buy,78.17
2026-09-03,CHF,MZN,sell,79.74
2026-09-03,CNH,MZN,buy,9.42
2026-09-03,CNH,MZN,sell,9.6
2026-09-03,CNY,MZN,buy,9.42
2026-09-03,CNY,MZN,sell,9.61
2026-09-03,DKK,MZN,buy,9.82
2026-09-03,DKK,MZN,sell,10.02
2026-09-03,EUR,MZN,buy,73.41
2026-09-03,EUR,MZN,sell,74.88
2026-09-03,GBP,MZN,buy,85.35
2026-09-03,GBP,MZN,sell,87.06
2026-09-03,KWD,MZN,buy,206.09
2026-09-03,KWD,MZN,sell,210.23
2026-09-03,MUR,MZN,buy,1.35
2026-09-03,MUR,MZN,sell,1.38
2026-09-03,NOK,MZN,buy,6.79
2026-09-03,NOK,MZN,sell,6.93
2026-09-03,NZD,MZN,buy,37.1
2026-09-03,NZD,MZN,sell,37.85
2026-09-03,SEK,MZN,buy,6.6
2026-09-03,SEK,MZN,sell,6.73
2026-09-03,USD,MZN,buy,63.27
2026-09-03,USD,MZN,sell,64.54
2026-09-03,XDR,MZN,buy,86.51
2026-09-03,XDR,MZN,sell,88.25
2026-09-03,ZAR,MZN,buy,3.94
2026-09-03,ZAR,MZN,sell,4.02
2026-09-03,ZMK,MZN,buy,3.33
2026-09-03,ZMK,MZN,sell,3.4
2026-09-04,AED,MZN,buy,17.23
2026-09-04,AED,MZN,sell,17.57
2026-09-04,AUD,MZN,buy,45.56
2026-09-04,AUD,MZN,sell,46.48
2026-09-04,BRL,MZN,buy,12.4
2026-09-04,BRL,MZN,sell,12.65
2026-09-04,BWP,MZN,buy,4.99
2026-09-04,BWP,MZN,sell,5.09
2026-09-04,CAD,MZN,buy,45.84
2026-09-04,CAD,MZN,sell,46.76
2026-09-04,CHF,MZN,buy,78.18
2026-09-04,CHF,MZN,sell,79.75
2026-09-04,CNH,MZN,buy,9.43
2026-09-04,CNH,MZN,sell,9.62
2026-09-04,CNY,MZN,buy,9.43
2026-09-04,CNY,MZN,sell,9.62
2026-09-04,DKK,MZN,buy,9.83
2026-09-04,DKK,MZN,sell,10.03
2026-09-04,EUR,MZN,buy,73.51
2026-09-04,EUR,MZN,sell,74.99
2026-09-04,GBP,MZN,buy,85.55
2026-09-04,GBP,MZN,sell,87.27
2026-09-04,KWD,MZN,buy,206.09
