date,base,quote,type,value
2026-09-07,AED,CDF,buy,602.64
2026-09-07,AED,CDF,middle,616.545
2026-09-07,AED,CDF,sell,630.45
2026-09-07,AOA,CDF,buy,2.42
2026-09-07,AOA,CDF,middle,2.475
2026-09-07,AOA,CDF,sell,2.53
2026-09-07,AUD,CDF,buy,1594.4
2026-09-07,AUD,CDF,middle,1631.185
2026-09-07,AUD,CDF,sell,1667.97
2026-09-07,BIF,CDF,buy,0.74
2026-09-07,BIF,CDF,middle,0.755
2026-09-07,BIF,CDF,sell,0.77
2026-09-07,CAD,CDF,buy,1604.12
2026-09-07,CAD,CDF,middle,1641.135
2026-09-07,CAD,CDF,sell,1678.15
2026-09-07,CHF,CDF,buy,2737.35
2026-09-07,CHF,CDF,middle,2800.51
2026-09-07,CHF,CDF,sell,2863.67
2026-09-07,CNY,CDF,buy,329.73
2026-09-07,CNY,CDF,middle,337.335
2026-09-07,CNY,CDF,sell,344.94
2026-09-07,EUR,CDF,buy,2573.43
2026-09-07,EUR,CDF,middle,2632.805
2026-09-07,EUR,CDF,sell,2692.18
2026-09-07,GBP,CDF,buy,2997.6
2026-09-07,GBP,CDF,middle,3066.765
2026-09-07,GBP,CDF,sell,3135.93
2026-09-07,INR,CDF,buy,23.42
2026-09-07,INR,CDF,middle,23.965
2026-09-07,INR,CDF,sell,24.51
2026-09-07,JPY,CDF,buy,14.16
2026-09-07,JPY,CDF,middle,14.485
2026-09-07,JPY,CDF,sell,14.81
2026-09-07,KWD,CDF,buy,7164.88
2026-09-07,KWD,CDF,middle,7330.195
2026-09-07,KWD,CDF,sell,7495.51
2026-09-07,RWF,CDF,buy,1.5
2026-09-07,RWF,CDF,middle,1.535
2026-09-07,RWF,CDF,sell,1.57
2026-09-07,SAR,CDF,buy,590.18
2026-09-07,SAR,CDF,middle,603.8
2026-09-07,SAR,CDF,sell,617.42
2026-09-07,TZS,CDF,buy,0.84
2026-09-07,TZS,CDF,middle,0.855
2026-09-07,TZS,CDF,sell,0.87
2026-09-07,UGX,CDF,buy,0.59
2026-09-07,UGX,CDF,middle,0.6
2026-09-07,UGX,CDF,sell,0.61
2026-09-07,USD,CDF,buy,2213.22
2026-09-07,USD,CDF,middle,2264.29
2026-09-07,USD,CDF,sell,2315.36
2026-09-07,XAF,CDF,buy,3.92
2026-09-07,XAF,CDF,middle,4.01
2026-09-07,XAF,CDF,sell,4.1
2026-09-07,XDR,CDF,buy,3033.53
2026-09-07,XDR,CDF,middle,3103.52
2026-09-07,XDR,CDF,sell,3173.51
2026-09-07,ZAR,CDF,buy,138.52
2026-09-07,ZAR,CDF,middle,141.715
2026-09-07,ZAR,CDF,sell,144.91
2026-09-07,ZMW,CDF,buy,115.25
2026-09-07,ZMW,CDF,middle,117.91
2026-09-07,ZMW,CDF,sell,120.57
2026-09-08,AED,CDF,buy,603.03
2026-09-08,AED,CDF,middle,616.94
2026-09-08,AED,CDF,sell,630.85
2026-09-08,AOA,CDF,buy,2.4
2026-09-08,AOA,CDF,middle,2.455
2026-09-08,AOA,CDF,sell,2.51
2026-09-08,AUD,CDF,buy,1595.12
2026-09-08,AUD,CDF,middle,1631.925
2026-09-08,AUD,CDF,sell,1668.73
2026-09-08,BIF,CDF,buy,0.74
2026-09-08,BIF,CDF,middle,0.755
2026-09-08,BIF,CDF,sell,0.77
2026-09-08,CAD,CDF,buy,1600.79
2026-09-08,CAD,CDF,middle,1637.725
2026-09-08,CAD,CDF,sell,1674.66
2026-09-08,CHF,CDF,buy,2738.64
2026-09-08,CHF,CDF,middle,2801.83
2026-09-08,CHF,CDF,sell,2865.02
2026-09-08,CNY,CDF,buy,329.92
2026-09-08,CNY,CDF,middle,337.535
2026-09-08,CNY,CDF,sell,345.15
2026-09-08,EUR,CDF,buy,2571.3
2026-09-08,EUR,CDF,middle,2630.625
2026-09-08,EUR,CDF,sell,2689.95
2026-09-08,GBP,CDF,buy,2993.78
2026-09-08,GBP,CDF,middle,3062.855
2026-09-08,GBP,CDF,sell,3131.93
2026-09-08,INR,CDF,buy,23.44
2026-09-08,INR,CDF,middle,23.985
2026-09-08,INR,CDF,sell,24.53
2026-09-08,JPY,CDF,buy,14.17
2026-09-08,JPY,CDF,middle,14.495
2026-09-08,JPY,CDF,sell,14.82
2026-09-08,KWD,CDF,buy,7173.13
2026-09-08,KWD,CDF,middle,7338.635
2026-09-08,KWD,CDF,sell,7504.14
2026-09-08,RWF,CDF,buy,1.51
2026-09-08,RWF,CDF,middle,1.54
2026-09-08,RWF,CDF,sell,1.57
2026-09-08,SAR,CDF,buy,590.56
2026-09-08,SAR,CDF,middle,604.19
2026-09-08,SAR,CDF,sell,617.82
2026-09-08,TZS,CDF,buy,0.84
2026-09-08,TZS,CDF,middle,0.855
2026-09-08,TZS,CDF,sell,0.87
2026-09-08,UGX,CDF,buy,0.59
2026-09-08,UGX,CDF,middle,0.6
2026-09-08,UGX,CDF,sell,0.61
2026-09-08,USD,CDF,buy,2214.61
2026-09-08,USD,CDF,middle,2265.71
2026-09-08,USD,CDF,sell,2316.81
2026-09-08,XAF,CDF,buy,3.92
2026-09-08,XAF,CDF,middle,4.01
2026-09-08,XAF,CDF,sell,4.1
2026-09-08,XDR,CDF,buy,3040.33
2026-09-08,XDR,CDF,middle,3110.48
2026-09-08,XDR,CDF,sell,3180.63
2026-09-08,ZAR,CDF,buy,138.72
2026-09-08,ZAR,CDF,middle,141.92
2026-09-08,ZAR,CDF,sell,145.12
2026-09-08,ZMW,CDF,buy,115.05
2026-09-08,ZMW,CDF,middle,117.705
2026-09-08,ZMW,CDF,sell,120.36
2026-09-09,AED,CDF,buy,602.3
2026-09-09,AED,CDF,middle,616.2
2026-09-09,AED,CDF,sell,630.1
2026-09-09,AOA,CDF,buy,2.42
2026-09-09,AOA,CDF,middle,2.475
2026-09-09,AOA,CDF,sell,2.53
2026-09-09,AUD,CDF,buy,1594.75
2026-09-09,AUD,CDF,middle,1631.545
2026-09-09,AUD,CDF,sell,1668.34
2026-09-09,BIF,CDF,buy,0.74
2026-09-09,BIF,CDF,middle,0.755
2026-09-09,BIF,CDF,sell,0.77
2026-09-09,CAD,CDF,buy,1603.02
2026-09-09,CAD,CDF,middle,1640.005
2026-09-09,CAD,CDF,sell,1676.99
2026-09-09,CHF,CDF,buy,2727
2026-09-09,CHF,CDF,middle,2789.92
2026-09-09,CHF,CDF,sell,2852.84
2026-09-09,CNY,CDF,buy,329.62
2026-09-09,CNY,CDF,middle,337.225
2026-09-09,CNY,CDF,sell,344.83
2026-09-09,EUR,CDF,buy,2568.67
2026-09-09,EUR,CDF,middle,2627.935
2026-09-09,EUR,CDF,sell,2687.2
2026-09-09,GBP,CDF,buy,2992.24
2026-09-09,GBP,CDF,middle,3061.28
2026-09-09,GBP,CDF,sell,3130.32
2026-09-09,INR,CDF,buy,23.34
2026-09-09,INR,CDF,middle,23.88
2026-09-09,INR,CDF,sell,24.42
2026-09-09,JPY,CDF,buy,14.38
2026-09-09,JPY,CDF,middle,14.71
2026-09-09,JPY,CDF,sell,15.04
2026-09-09,KWD,CDF,buy,7157.64
2026-09-09,KWD,CDF,middle,7322.785
2026-09-09,KWD,CDF,sell,7487.93
2026-09-09,RWF,CDF,buy,1.5
2026-09-09,RWF,CDF,middle,1.535
2026-09-09,RWF,CDF,sell,1.57
2026-09-09,SAR,CDF,buy,589.86
2026-09-09,SAR,CDF,middle,603.47
2026-09-09,SAR,CDF,sell,617.08
2026-09-09,TZS,CDF,buy,0.84
2026-09-09,TZS,CDF,middle,0.855
2026-09-09,TZS,CDF,sell,0.87
2026-09-09,UGX,CDF,buy,0.58
2026-09-09,UGX,CDF,middle,0.595
2026-09-09,UGX,CDF,sell,0.61
2026-09-09,USD,CDF,buy,2211.96
2026-09-09,USD,CDF,middle,2263
2026-09-09,USD,CDF,sell,2314.04
2026-09-09,XAF,CDF,buy,3.92
2026-09-09,XAF,CDF,middle,4.01
2026-09-09,XAF,CDF,sell,4.1
2026-09-09,XDR,CDF,buy,3035.12
2026-09-09,XDR,CDF,middle,3105.145
2026-09-09,XDR,CDF,sell,3175.17
2026-09-09,ZAR,CDF,buy,137.58
2026-09-09,ZAR,CDF,middle,140.755
2026-09-09,ZAR,CDF,sell,143.93
2026-09-09,ZMW,CDF,buy,114.55
2026-09-09,ZMW,CDF,middle,117.195
2026-09-09,ZMW,CDF,sell,119.84
2026-09-10,AED,CDF,buy,602.57
2026-09-10,AED,CDF,middle,616.475
2026-09-10,AED,CDF,sell,630.38
2026-09-10,AOA,CDF,buy,2.42
2026-09-10,AOA,CDF,middle,2.475
2026-09-10,AOA,CDF,sell,2.53
2026-09-10,AUD,CDF,buy,1597.35
2026-09-10,AUD,CDF,middle,1634.205
2026-09-10,AUD,CDF,sell,1671.06
2026-09-10,BIF,CDF,buy,0.74
2026-09-10,BIF,CDF,middle,0.755
2026-09-10,BIF,CDF,sell,0.77
2026-09-10,CAD,CDF,buy,1605.94
2026-09-10,CAD,CDF,middle,1642.99
2026-09-10,CAD,CDF,sell,1680.04
2026-09-10,CHF,CDF,buy,2735.25
2026-09-10,CHF,CDF,middle,2798.36
2026-09-10,CHF,CDF,sell,2861.47
2026-09-10,CNY,CDF,buy,329.73
2026-09-10,CNY,CDF,middle,337.34
2026-09-10,CNY,CDF,sell,344.95
2026-09-10,EUR,CDF,buy,2573.11
2026-09-10,EUR,CDF,middle,2632.48
2026-09-10,EUR,CDF,sell,2691.85
2026-09-10,GBP,CDF,buy,2996.74
2026-09-10,GBP,CDF,middle,3065.885
2026-09-10,GBP,CDF,sell,3135.03
2026-09-10,INR,CDF,buy,23.34
2026-09-10,INR,CDF,middle,23.88
2026-09-10,INR,CDF,sell,24.42
2026-09-10,JPY,CDF,buy,14.35
2026-09-10,JPY,CDF,middle,14.68
2026-09-10,JPY,CDF,sell,15.01
2026-09-10,KWD,CDF,buy,7164.05
2026-09-10,KWD,CDF,middle,7329.35
2026-09-10,KWD,CDF,sell,7494.65
2026-09-10,RWF,CDF,buy,1.5
2026-09-10,RWF,CDF,middle,1.535
2026-09-10,RWF,CDF,sell,1.57
2026-09-10,SAR,CDF,buy,590.12
2026-09-10,SAR,CDF,middle,603.735
2026-09-10,SAR,CDF,sell,617.35
2026-09-10,TZS,CDF,buy,0.84
2026-09-10,TZS,CDF,middle,0.86
2026-09-10,TZS,CDF,sell,0.88
2026-09-10,UGX,CDF,buy,0.58
2026-09-10,UGX,CDF,middle,0.595
2026-09-10,UGX,CDF,sell,0.61
2026-09-10,USD,CDF,buy,2212.94
2026-09-10,USD,CDF,middle,2264
2026-09-10,USD,CDF,sell,2315.06
2026-09-10,XAF,CDF,buy,3.92
2026-09-10,XAF,CDF,middle,4.01
2026-09-10,XAF,CDF,sell,4.1
2026-09-10,XDR,CDF,buy,3035.91
2026-09-10,XDR,CDF,middle,3105.96
2026-09-10,XDR,CDF,sell,3176.01
2026-09-10,ZAR,CDF,buy,138.38
2026-09-10,ZAR,CDF,middle,141.57
2026-09-10,ZAR,CDF,sell,144.76
2026-09-10,ZMW,CDF,buy,114.56
2026-09-10,ZMW,CDF,middle,117.2
2026-09-10,ZMW,CDF,sell,119.84
2026-09-11,AED,CDF,buy,602.17
2026-09-11,AED,CDF,middle,616.065
2026-09-11,AED,CDF,sell,629.96
2026-09-11,AOA,CDF,buy,2.41
2026-09-11,AOA,CDF,middle,2.465
2026-09-11,AOA,CDF,sell,2.52
2026-09-11,AUD,CDF,buy,1596.19
2026-09-11,AUD,CDF,middle,1633.02
2026-09-11,AUD,CDF,sell,1669.85
2026-09-11,BIF,CDF,buy,0.74
2026-09-11,BIF,CDF,middle,0.755
2026-09-11,BIF,CDF,sell,0.77
2026-09-11,CAD,CDF,buy,1601.69
2026-09-11,CAD,CDF,middle,1638.645
2026-09-11,CAD,CDF,sell,1675.6
2026-09-11,CHF,CDF,buy,2729.02
2026-09-11,CHF,CDF,middle,2791.985
2026-09-11,CHF,CDF,sell,2854.95
2026-09-11,CNY,CDF,buy,329.61
2026-09-11,CNY,CDF,middle,337.215
2026-09-11,CNY,CDF,sell,344.82
2026-09-11,EUR,CDF,buy,2571.3
2026-09-11,EUR,CDF,middle,2630.625
2026-09-11,EUR,CDF,sell,2689.95
2026-09-11,GBP,CDF,buy,2995.99
2026-09-11,GBP,CDF,middle,3065.115
2026-09-11,GBP,CDF,sell,3134.24
