date,base,quote,type,value
2026-08-24,AUD,MUR,tt_buy,33.5347
2026-08-24,AUD,MUR,tt_sell,35.2679
2026-08-24,CAD,MUR,tt_buy,33.5872
2026-08-24,CAD,MUR,tt_sell,35.4426
2026-08-24,CHF,MUR,tt_buy,57.4542
2026-08-24,CHF,MUR,tt_sell,59.1713
2026-08-24,CNY,MUR,tt_buy,6.884
2026-08-24,CNY,MUR,tt_sell,7.4667
2026-08-24,EUR,MUR,tt_buy,53.71
2026-08-24,EUR,MUR,tt_sell,55.3179
2026-08-24,GBP,MUR,tt_buy,62.7494
2026-08-24,GBP,MUR,tt_sell,64.6221
2026-08-24,INR,MUR,tt_buy,0.4899
2026-08-24,INR,MUR,tt_sell,0.5226
2026-08-24,JPY,MUR,tt_buy,0.289536
2026-08-24,JPY,MUR,tt_sell,0.29818100000000003
2026-08-24,NZD,MUR,tt_buy,27.7306
2026-08-24,NZD,MUR,tt_sell,29.1091
2026-08-24,SGD,MUR,tt_buy,36.5343
2026-08-24,SGD,MUR,tt_sell,38.3688
2026-08-24,USD,MUR,tt_buy,45.9865
2026-08-24,USD,MUR,tt_sell,47.3608
2026-08-24,ZAR,MUR,tt_buy,2.904
2026-08-24,ZAR,MUR,tt_sell,3.1154
2026-08-25,AUD,MUR,tt_buy,33.5275
2026-08-25,AUD,MUR,tt_sell,35.2616
2026-08-25,CAD,MUR,tt_buy,33.5016
2026-08-25,CAD,MUR,tt_sell,35.3521
2026-08-25,CHF,MUR,tt_buy,57.3396
2026-08-25,CHF,MUR,tt_sell,59.0535
2026-08-25,CNY,MUR,tt_buy,6.8988
2026-08-25,CNY,MUR,tt_sell,7.4837
2026-08-25,EUR,MUR,tt_buy,53.7232
2026-08-25,EUR,MUR,tt_sell,55.3311
2026-08-25,GBP,MUR,tt_buy,62.8108
2026-08-25,GBP,MUR,tt_sell,64.6867
2026-08-25,INR,MUR,tt_buy,0.49
2026-08-25,INR,MUR,tt_sell,0.5226
2026-08-25,JPY,MUR,tt_buy,0.289484
2026-08-25,JPY,MUR,tt_sell,0.298132
2026-08-25,NZD,MUR,tt_buy,27.72
2026-08-25,NZD,MUR,tt_sell,29.0987
2026-08-25,SGD,MUR,tt_buy,36.5286
2026-08-25,SGD,MUR,tt_sell,38.3596
2026-08-25,USD,MUR,tt_buy,46.0955
2026-08-25,USD,MUR,tt_sell,47.472
2026-08-25,ZAR,MUR,tt_buy,2.9066
2026-08-25,ZAR,MUR,tt_sell,3.1165
2026-08-26,AUD,MUR,tt_buy,33.6552
2026-08-26,AUD,MUR,tt_sell,35.3927
2026-08-26,CAD,MUR,tt_buy,33.4891
2026-08-26,CAD,MUR,tt_sell,35.3405
2026-08-26,CHF,MUR,tt_buy,57.3554
2026-08-26,CHF,MUR,tt_sell,59.0684
2026-08-26,CNY,MUR,tt_buy,6.9002
2026-08-26,CNY,MUR,tt_sell,7.4853
2026-08-26,EUR,MUR,tt_buy,53.7433
2026-08-26,EUR,MUR,tt_sell,55.3498
2026-08-26,GBP,MUR,tt_buy,62.8275
2026-08-26,GBP,MUR,tt_sell,64.7051
2026-08-26,INR,MUR,tt_buy,0.4909
2026-08-26,INR,MUR,tt_sell,0.5249
2026-08-26,JPY,MUR,tt_buy,0.28992999999999997
2026-08-26,JPY,MUR,tt_sell,0.298594
2026-08-26,NZD,MUR,tt_buy,27.7151
2026-08-26,NZD,MUR,tt_sell,29.0936
2026-08-26,SGD,MUR,tt_buy,36.6056
2026-08-26,SGD,MUR,tt_sell,38.4408
2026-08-26,USD,MUR,tt_buy,46.0835
2026-08-26,USD,MUR,tt_sell,47.4599
2026-08-26,ZAR,MUR,tt_buy,2.9229
2026-08-26,ZAR,MUR,tt_sell,3.1355
2026-08-27,AUD,MUR,tt_buy,33.7113
2026-08-27,AUD,MUR,tt_sell,35.4529
2026-08-27,CAD,MUR,tt_buy,33.4827
2026-08-27,CAD,MUR,tt_sell,35.3324
2026-08-27,CHF,MUR,tt_buy,57.2663
2026-08-27,CHF,MUR,tt_sell,58.976
2026-08-27,CNY,MUR,tt_buy,6.9065
2026-08-27,CNY,MUR,tt_sell,7.4917
2026-08-27,EUR,MUR,tt_buy,53.7614
2026-08-27,EUR,MUR,tt_sell,55.3699
2026-08-27,GBP,MUR,tt_buy,62.6824
2026-08-27,GBP,MUR,tt_sell,64.5537
2026-08-27,INR,MUR,tt_buy,0.492
2026-08-27,INR,MUR,tt_sell,0.5252
2026-08-27,JPY,MUR,tt_buy,0.28958300000000003
2026-08-27,JPY,MUR,tt_sell,0.298232
2026-08-27,NZD,MUR,tt_buy,27.7613
2026-08-27,NZD,MUR,tt_sell,29.143
2026-08-27,SGD,MUR,tt_buy,36.5586
2026-08-27,SGD,MUR,tt_sell,38.3933
2026-08-27,USD,MUR,tt_buy,46.1327
2026-08-27,USD,MUR,tt_sell,47.5094
2026-08-27,ZAR,MUR,tt_buy,2.9222
2026-08-27,ZAR,MUR,tt_sell,3.1341
2026-08-28,AUD,MUR,tt_buy,33.8254
2026-08-28,AUD,MUR,tt_sell,35.5725
2026-08-28,CAD,MUR,tt_buy,33.5933
2026-08-28,CAD,MUR,tt_sell,35.4484
2026-08-28,CHF,MUR,tt_buy,57.3799
2026-08-28,CHF,MUR,tt_sell,59.0938
2026-08-28,CNY,MUR,tt_buy,6.9159
2026-08-28,CNY,MUR,tt_sell,7.5007
2026-08-28,EUR,MUR,tt_buy,53.7875
2026-08-28,EUR,MUR,tt_sell,55.3965
2026-08-28,GBP,MUR,tt_buy,62.7676
2026-08-28,GBP,MUR,tt_sell,64.6428
2026-08-28,INR,MUR,tt_buy,0.4919
2026-08-28,INR,MUR,tt_sell,0.5253
2026-08-28,JPY,MUR,tt_buy,0.28971399999999997
2026-08-28,JPY,MUR,tt_sell,0.298367
2026-08-28,NZD,MUR,tt_buy,27.8052
2026-08-28,NZD,MUR,tt_sell,29.1876
2026-08-28,SGD,MUR,tt_buy,36.6064
2026-08-28,SGD,MUR,tt_sell,38.443
2026-08-28,USD,MUR,tt_buy,46.1911
2026-08-28,USD,MUR,tt_sell,47.569
2026-08-28,ZAR,MUR,tt_buy,2.9178
2026-08-28,ZAR,MUR,tt_sell,3.1287
2026-08-31,AUD,MUR,tt_buy,33.823
2026-08-31,AUD,MUR,tt_sell,35.5649
2026-08-31,CAD,MUR,tt_buy,33.6773
2026-08-31,CAD,MUR,tt_sell,35.5329
2026-08-31,CHF,MUR,tt_buy,57.366
2026-08-31,CHF,MUR,tt_sell,59.0773
2026-08-31,CNY,MUR,tt_buy,6.9458
2026-08-31,CNY,MUR,tt_sell,7.5335
2026-08-31,EUR,MUR,tt_buy,53.807
2026-08-31,EUR,MUR,tt_sell,55.4174
2026-08-31,GBP,MUR,tt_buy,62.8806
2026-08-31,GBP,MUR,tt_sell,64.7576
