date,base,quote,type,value
2026-09-04,AED,GMD,indicative,19.65
2026-09-04,AUD,GMD,indicative,51.95
2026-09-04,BRL,GMD,indicative,14.13
2026-09-04,CAD,GMD,indicative,52.36
2026-09-04,CHF,GMD,indicative,89.39
2026-09-04,CNY,GMD,indicative,10.74
2026-09-04,DKK,GMD,indicative,11.222999999999999
2026-09-04,EGP,GMD,indicative,1.42
2026-09-04,EUR,GMD,indicative,86.13
2026-09-04,GBP,GMD,indicative,97.26
2026-09-04,GHS,GMD,indicative,6.36
2026-09-04,GNF,GMD,indicative,0.0082
2026-09-04,HKD,GMD,indicative,9.21
2026-09-04,INR,GMD,indicative,0.76
2026-09-04,JPY,GMD,indicative,0.4644
2026-09-04,KWD,GMD,indicative,233.66
2026-09-04,LKR,GMD,indicative,0.22
2026-09-04,NGN,GMD,indicative,0.05
2026-09-04,NOK,GMD,indicative,7.7632
2026-09-04,NZD,GMD,indicative,42.46
2026-09-04,PHP,GMD,indicative,1.16
2026-09-04,SAR,GMD,indicative,19.25
2026-09-04,SEK,GMD,indicative,7.5558000000000005
2026-09-04,SGD,GMD,indicative,56.98
2026-09-04,SLE,GMD,indicative,3.15
2026-09-04,THB,GMD,indicative,2.19
2026-09-04,TRY,GMD,indicative,1.49
2026-09-04,TWD,GMD,indicative,2.28
2026-09-04,USD,GMD,indicative,72.17
2026-09-04,XDR,GMD,indicative,98.69
2026-09-04,XOF,GMD,indicative,0.125828
2026-09-04,ZAR,GMD,indicative,4.51
2026-09-07,AED,GMD,indicative,19.84
2026-09-07,AUD,GMD,indicative,52.48
2026-09-07,BRL,GMD,indicative,14.21
2026-09-07,CAD,GMD,indicative,52.67
2026-09-07,CHF,GMD,indicative,90.1
2026-09-07,CNY,GMD,indicative,10.85
2026-09-07,DKK,GMD,indicative,11.320799999999998
2026-09-07,EGP,GMD,indicative,1.43
2026-09-07,EUR,GMD,indicative,85.52
2026-09-07,GBP,GMD,indicative,97.56
2026-09-07,GHS,GMD,indicative,6.12
2026-09-07,GNF,GMD,indicative,0.0082
2026-09-07,HKD,GMD,indicative,9.29
2026-09-07,INR,GMD,indicative,0.77
2026-09-07,JPY,GMD,indicative,0.46619999999999995
2026-09-07,KWD,GMD,indicative,236
2026-09-07,LKR,GMD,indicative,0.22
2026-09-07,NGN,GMD,indicative,0.05
2026-09-07,NOK,GMD,indicative,7.7461
2026-09-07,NZD,GMD,indicative,42.84
2026-09-07,PHP,GMD,indicative,1.16
2026-09-07,SAR,GMD,indicative,19.43
2026-09-07,SEK,GMD,indicative,7.6128
2026-09-07,SGD,GMD,indicative,57.48
2026-09-07,SLE,GMD,indicative,3.26
2026-09-07,THB,GMD,indicative,2.21
2026-09-07,TRY,GMD,indicative,1.5
2026-09-07,TWD,GMD,indicative,2.3
2026-09-07,USD,GMD,indicative,72.86
2026-09-07,XDR,GMD,indicative,100.03
2026-09-07,XOF,GMD,indicative,0.127352
2026-09-07,ZAR,GMD,indicative,4.56
