date,base,quote,type,value
2026-09-05,EUR,AED,reference,4.27721
2026-09-05,EUR,AFN,reference,75.50519
2026-09-05,EUR,ALL,reference,92.2808
2026-09-05,EUR,AMD,reference,424.24482
2026-09-05,EUR,ARS,reference,1761.05216
2026-09-05,EUR,AUD,reference,1.6134
2026-09-05,EUR,AZN,reference,1.97936
2026-09-05,EUR,BAM,reference,1.95584
2026-09-05,EUR,BDT,reference,143.21318
2026-09-05,EUR,BHD,reference,0.43907
2026-09-05,EUR,BOB,reference,13.77604
2026-09-05,EUR,BRL,reference,5.9405
2026-09-05,EUR,BYN,reference,3.51196
2026-09-05,EUR,CAD,reference,1.6038
2026-09-05,EUR,CHF,reference,0.9405
2026-09-05,EUR,CLP,reference,1076.28913
2026-09-05,EUR,CNY,reference,7.7994
2026-09-05,EUR,COP,reference,3682.149
2026-09-05,EUR,CZK,reference,24.189
2026-09-05,EUR,DJF,reference,207.2102
2026-09-05,EUR,DKK,reference,7.4747
2026-09-05,EUR,DZD,reference,154.89603
2026-09-05,EUR,EGP,reference,58.51531
2026-09-05,EUR,ETB,reference,187.00263
2026-09-05,EUR,GBP,reference,0.85898
2026-09-05,EUR,GEL,reference,3.04394
2026-09-05,EUR,GHS,reference,13.07151
2026-09-05,EUR,GNF,reference,10231.11068
2026-09-05,EUR,HKD,reference,9.112
2026-09-05,EUR,HUF,reference,363.28
2026-09-05,EUR,IDR,reference,20496.04
2026-09-05,EUR,ILS,reference,3.4954
2026-09-05,EUR,INR,reference,109.8165
2026-09-05,EUR,IQD,reference,1525.49523
2026-09-05,EUR,IRR,reference,1600721.7
2026-09-05,EUR,ISK,reference,140.8
2026-09-05,EUR,JOD,reference,0.82342
2026-09-05,EUR,JPY,reference,181.59
2026-09-05,EUR,KES,reference,150.75035
2026-09-05,EUR,KGS,reference,101.94551
2026-09-05,EUR,KRW,reference,1569.38
2026-09-05,EUR,KWD,reference,0.35957
2026-09-05,EUR,KZT,reference,540.00776
2026-09-05,EUR,LBP,reference,104411.41065
