date,base,quote,type,value
2024-01-01,USD,NIO,reference,36.6243
2024-01-02,USD,NIO,reference,36.6243
2024-01-03,USD,NIO,reference,36.6243
2024-01-04,USD,NIO,reference,36.6243
2024-01-05,USD,NIO,reference,36.6243
2024-01-06,USD,NIO,reference,36.6243
2024-01-07,USD,NIO,reference,36.6243
2024-01-08,USD,NIO,reference,36.6243
2024-01-09,USD,NIO,reference,36.6243
2024-01-10,USD,NIO,reference,36.6243
2024-01-11,USD,NIO,reference,36.6243
2024-01-12,USD,NIO,reference,36.6243
2024-01-13,USD,NIO,reference,36.6243
2024-01-14,USD,NIO,reference,36.6243
2024-01-15,USD,NIO,reference,36.6243
2024-01-16,USD,NIO,reference,36.6243
2024-01-17,USD,NIO,reference,36.6243
2024-01-18,USD,NIO,reference,36.6243
2024-01-19,USD,NIO,reference,36.6243
2024-01-20,USD,NIO,reference,36.6243
2024-01-21,USD,NIO,reference,36.6243
2024-01-22,USD,NIO,reference,36.6243
2024-01-23,USD,NIO,reference,36.6243
2024-01-24,USD,NIO,reference,36.6243
2024-01-25,USD,NIO,reference,36.6243
2024-01-26,USD,NIO,reference,36.6243
2024-01-27,USD,NIO,reference,36.6243
2024-01-28,USD,NIO,reference,36.6243
2024-01-29,USD,NIO,reference,36.6243
2024-01-30,USD,NIO,reference,36.6243
2024-01-31,USD,NIO,reference,36.6243
2024-02-01,USD,NIO,reference,36.6243
2024-02-02,USD,NIO,reference,36.6243
2024-02-03,USD,NIO,reference,36.6243
2024-02-04,USD,NIO,reference,36.6243
2024-02-05,USD,NIO,reference,36.6243
2024-02-06,USD,NIO,reference,36.6243
2024-02-07,USD,NIO,reference,36.6243
2024-02-08,USD,NIO,reference,36.6243
2024-02-09,USD,NIO,reference,36.6243
2024-02-10,USD,NIO,reference,36.6243
2024-02-11,USD,NIO,reference,36.6243
2024-02-12,USD,NIO,reference,36.6243
2024-02-13,USD,NIO,reference,36.6243
2024-02-14,USD,NIO,reference,36.6243
2024-02-15,USD,NIO,reference,36.6243
2024-02-16,USD,NIO,reference,36.6243
2024-02-17,USD,NIO,reference,36.6243
2024-02-18,USD,NIO,reference,36.6243
2024-02-19,USD,NIO,reference,36.6243
2024-02-20,USD,NIO,reference,36.6243
2024-02-21,USD,NIO,reference,36.6243
2024-02-22,USD,NIO,reference,36.6243
2024-02-23,USD,NIO,reference,36.6243
2024-02-24,USD,NIO,reference,36.6243
2024-02-25,USD,NIO,reference,36.6243
2024-02-26,USD,NIO,reference,36.6243
2024-02-27,USD,NIO,reference,36.6243
2024-02-28,USD,NIO,reference,36.6243
2024-02-29,USD,NIO,reference,36.6243
2024-03-01,USD,NIO,reference,36.6243
2024-03-02,USD,NIO,reference,36.6243
2024-03-03,USD,NIO,reference,36.6243
2024-03-04,USD,NIO,reference,36.6243
2024-03-05,USD,NIO,reference,36.6243
2024-03-06,USD,NIO,reference,36.6243
2024-03-07,USD,NIO,reference,36.6243
2024-03-08,USD,NIO,reference,36.6243
2024-03-09,USD,NIO,reference,36.6243
2024-03-10,USD,NIO,reference,36.6243
2024-03-11,USD,NIO,reference,36.6243
2024-03-12,USD,NIO,reference,36.6243
2024-03-13,USD,NIO,reference,36.6243
2024-03-14,USD,NIO,reference,36.6243
2024-03-15,USD,NIO,reference,36.6243
2024-03-16,USD,NIO,reference,36.6243
2024-03-17,USD,NIO,reference,36.6243
2024-03-18,USD,NIO,reference,36.6243
2024-03-19,USD,NIO,reference,36.6243
2024-03-20,USD,NIO,reference,36.6243
2024-03-21,USD,NIO,reference,36.6243
2024-03-22,USD,NIO,reference,36.6243
2024-03-23,USD,NIO,reference,36.6243
2024-03-24,USD,NIO,reference,36.6243
2024-03-25,USD,NIO,reference,36.6243
2024-03-26,USD,NIO,reference,36.6243
2024-03-27,USD,NIO,reference,36.6243
2024-03-28,USD,NIO,reference,36.6243
2024-03-29,USD,NIO,reference,36.6243
2024-03-30,USD,NIO,reference,36.6243
2024-03-31,USD,NIO,reference,36.6243
2024-04-01,USD,NIO,reference,36.6243
2024-04-02,USD,NIO,reference,36.6243
2024-04-03,USD,NIO,reference,36.6243
2024-04-04,USD,NIO,reference,36.6243
2024-04-05,USD,NIO,reference,36.6243
2024-04-06,USD,NIO,reference,36.6243
2024-04-07,USD,NIO,reference,36.6243
2024-04-08,USD,NIO,reference,36.6243
2024-04-09,USD,NIO,reference,36.6243
2024-04-10,USD,NIO,reference,36.6243
2024-04-11,USD,NIO,reference,36.6243
2024-04-12,USD,NIO,reference,36.6243
2024-04-13,USD,NIO,reference,36.6243
2024-04-14,USD,NIO,reference,36.6243
2024-04-15,USD,NIO,reference,36.6243
2024-04-16,USD,NIO,reference,36.6243
2024-04-17,USD,NIO,reference,36.6243
2024-04-18,USD,NIO,reference,36.6243
2024-04-19,USD,NIO,reference,36.6243
2024-04-20,USD,NIO,reference,36.6243
2024-04-21,USD,NIO,reference,36.6243
2024-04-22,USD,NIO,reference,36.6243
2024-04-23,USD,NIO,reference,36.6243
2024-04-24,USD,NIO,reference,36.6243
2024-04-25,USD,NIO,reference,36.6243
2024-04-26,USD,NIO,reference,36.6243
2024-04-27,USD,NIO,reference,36.6243
2024-04-28,USD,NIO,reference,36.6243
2024-04-29,USD,NIO,reference,36.6243
2024-04-30,USD,NIO,reference,36.6243
2024-05-01,USD,NIO,reference,36.6243
2024-05-02,USD,NIO,reference,36.6243
2024-05-03,USD,NIO,reference,36.6243
2024-05-04,USD,NIO,reference,36.6243
2024-05-05,USD,NIO,reference,36.6243
2024-05-06,USD,NIO,reference,36.6243
2024-05-07,USD,NIO,reference,36.6243
2024-05-08,USD,NIO,reference,36.6243
2024-05-09,USD,NIO,reference,36.6243
2024-05-10,USD,NIO,reference,36.6243
2024-05-11,USD,NIO,reference,36.6243
2024-05-12,USD,NIO,reference,36.6243
2024-05-13,USD,NIO,reference,36.6243
2024-05-14,USD,NIO,reference,36.6243
2024-05-15,USD,NIO,reference,36.6243
2024-05-16,USD,NIO,reference,36.6243
2024-05-17,USD,NIO,reference,36.6243
2024-05-18,USD,NIO,reference,36.6243
2024-05-19,USD,NIO,reference,36.6243
2024-05-20,USD,NIO,reference,36.6243
2024-05-21,USD,NIO,reference,36.6243
2024-05-22,USD,NIO,reference,36.6243
2024-05-23,USD,NIO,reference,36.6243
2024-05-24,USD,NIO,reference,36.6243
2024-05-25,USD,NIO,reference,36.6243
2024-05-26,USD,NIO,reference,36.6243
2024-05-27,USD,NIO,reference,36.6243
2024-05-28,USD,NIO,reference,36.6243
2024-05-29,USD,NIO,reference,36.6243
2024-05-30,USD,NIO,reference,36.6243
2024-05-31,USD,NIO,reference,36.6243
2024-06-01,USD,NIO,reference,36.6243
2024-06-02,USD,NIO,reference,36.6243
2024-06-03,USD,NIO,reference,36.6243
2024-06-04,USD,NIO,reference,36.6243
2024-06-05,USD,NIO,reference,36.6243
2024-06-06,USD,NIO,reference,36.6243
2024-06-07,USD,NIO,reference,36.6243
2024-06-08,USD,NIO,reference,36.6243
2024-06-09,USD,NIO,reference,36.6243
2024-06-10,USD,NIO,reference,36.6243
2024-06-11,USD,NIO,reference,36.6243
2024-06-12,USD,NIO,reference,36.6243
2024-06-13,USD,NIO,reference,36.6243
2024-06-14,USD,NIO,reference,36.6243
2024-06-15,USD,NIO,reference,36.6243
2024-06-16,USD,NIO,reference,36.6243
2024-06-17,USD,NIO,reference,36.6243
2024-06-18,USD,NIO,reference,36.6243
2024-06-19,USD,NIO,reference,36.6243
2024-06-20,USD,NIO,reference,36.6243
2024-06-21,USD,NIO,reference,36.6243
